,ID,Year_Birth,Year_Old,CustomerFor,Dt_Customer,Education,Marital_Status,Income,Kidhome,Teenhome,ChildrenHome,Recency,MntSpentTotal,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,PurchaseLastMonth,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpTotal,Complain,Z_CostContact,Z_Revenue
42,8430,1957,67,4212 days,2012-12-24,Graduation,Together,21994,0,1,1,4,22,9,0,6,3,1,3,1,1,0,0,3,5,0,0,0,0,0,0,0,0,3,11
44,2139,1975,49,3930 days,2013-10-02,Master,Married,7500,1,0,1,19,31,3,1,10,3,2,12,1,3,2,0,3,5,0,0,0,0,0,0,0,0,3,11
45,1371,1976,48,3661 days,2014-06-28,Graduation,Single,79941,0,0,0,72,984,123,164,266,227,30,174,0,1,2,4,9,1,0,0,0,0,0,0,0,0,3,11
46,9909,1996,28,4257 days,2012-11-09,2n Cycle,Married,7500,0,0,0,24,122,3,18,14,15,22,50,1,3,3,1,3,9,0,0,0,0,0,1,1,0,3,11
47,7286,1968,56,4061 days,2013-05-24,Graduation,Together,41728,1,0,1,92,55,13,6,15,3,5,13,0,1,2,0,2,10,0,0,0,0,0,0,0,0,3,11
49,6566,1954,70,4258 days,2012-11-08,PhD,Married,72550,1,1,2,39,1319,826,50,317,50,38,38,0,9,5,2,12,8,0,0,0,0,0,0,0,0,3,11
50,8614,1957,67,3708 days,2014-05-12,Graduation,Widow,65486,0,1,1,29,507,245,19,125,37,67,14,1,1,4,2,10,2,0,0,0,0,0,0,0,0,3,11
51,4114,1964,60,4347 days,2012-08-11,Master,Married,79143,0,0,0,2,1693,650,37,780,27,167,32,1,1,6,9,13,3,0,0,0,0,0,0,0,0,3,11
52,1331,1977,47,4203 days,2013-01-02,Graduation,Single,35790,1,0,1,54,72,12,6,20,30,1,3,0,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11
53,2225,1977,47,3682 days,2014-06-07,Graduation,Divorced,82582,0,0,0,54,1617,510,120,550,156,40,241,0,1,4,9,7,1,1,0,1,0,0,1,3,0,3,11
54,9381,1978,46,4042 days,2013-06-12,Graduation,Married,66373,1,1,2,57,606,328,9,124,12,24,109,0,7,4,2,10,3,0,0,0,0,0,0,0,0,3,11
55,6260,1955,69,4247 days,2012-11-19,Master,Together,82384,0,0,0,55,1957,984,51,432,180,120,190,0,1,3,10,13,1,0,0,0,0,1,1,2,0,3,11
56,10383,1966,58,4113 days,2013-04-02,Graduation,Divorced,70287,0,0,0,30,1093,295,35,482,121,120,40,0,1,5,5,10,3,0,0,0,0,0,1,1,0,3,11
57,7437,1988,36,3722 days,2014-04-28,Graduation,Single,27938,1,0,1,31,29,13,0,8,2,1,5,0,1,1,0,4,3,0,0,0,0,0,0,0,0,3,11
59,8375,1968,56,3778 days,2014-03-03,PhD,Married,55954,0,1,1,63,518,447,0,28,0,0,43,0,3,8,2,6,7,0,0,0,0,0,0,0,0,3,11
60,6853,1982,42,4020 days,2013-07-04,Master,Single,75777,0,0,0,12,1438,712,26,538,69,13,80,1,1,3,6,11,1,0,0,0,1,1,1,3,0,3,11
61,3076,1975,49,4320 days,2012-09-07,Graduation,Together,66653,1,1,2,18,612,452,18,102,16,18,6,1,4,4,2,12,3,0,0,0,0,0,0,0,0,3,11
62,1012,1952,72,4156 days,2013-02-18,Graduation,Single,61823,0,1,1,26,884,523,7,134,37,14,169,1,4,8,2,10,7,0,0,0,0,0,0,0,0,3,11
63,6518,1951,73,4043 days,2013-06-11,PhD,Widow,67680,0,1,1,8,606,546,0,48,0,6,6,1,1,7,3,8,5,0,0,0,0,0,0,0,0,3,11
64,4137,1948,76,3865 days,2013-12-06,Graduation,Together,70666,0,0,0,29,1076,398,40,367,119,122,30,1,1,7,4,4,4,0,0,0,0,0,0,0,0,3,11
65,8082,1971,53,4064 days,2013-05-21,Graduation,Married,25721,1,0,1,75,34,1,3,6,3,6,15,0,1,1,1,2,7,0,0,0,0,0,1,1,0,3,11
66,1386,1967,57,3709 days,2014-05-11,Graduation,Together,32474,1,1,2,0,11,10,0,1,0,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11
67,9369,1979,45,3762 days,2014-03-19,2n Cycle,Single,88194,0,1,1,19,1274,688,14,309,201,24,38,1,1,11,10,10,5,1,0,1,0,0,1,3,0,3,11
68,4477,1958,66,3935 days,2013-09-27,Graduation,Together,69096,0,1,1,4,653,247,49,159,7,82,109,1,1,5,2,10,4,0,0,0,0,0,0,0,0,3,11
69,1357,1970,54,4107 days,2013-04-08,Graduation,Together,74854,1,2,3,90,1562,856,59,487,58,29,73,0,7,2,5,5,5,0,0,0,0,0,0,0,0,3,11
70,1402,1954,70,4316 days,2012-09-11,Master,Married,66991,0,0,0,1,1253,496,36,460,189,60,12,1,3,4,8,6,3,0,0,0,0,0,0,0,0,3,11
72,6312,1959,65,4129 days,2013-03-17,Graduation,Married,65031,0,1,1,29,863,258,107,291,84,37,86,1,4,10,3,13,7,0,0,0,0,0,0,0,0,3,11
73,8132,1975,49,4110 days,2013-04-05,PhD,Married,60631,1,1,2,88,661,565,6,65,0,6,19,0,5,9,2,8,7,0,0,0,1,0,0,1,0,3,11
74,1050,1952,72,3720 days,2014-04-30,Graduation,Married,28332,0,0,0,58,65,14,10,13,4,15,9,0,1,2,1,4,2,0,0,0,0,0,0,0,0,3,11
75,5846,1977,47,4217 days,2012-12-19,Graduation,Divorced,40246,1,0,1,68,13,2,1,6,2,1,1,0,1,1,0,2,6,0,0,0,0,0,0,0,0,3,11
76,1859,1972,52,4331 days,2012-08-27,Master,Married,75251,0,0,0,34,1890,721,111,925,97,18,18,0,1,7,6,5,5,0,0,0,0,0,1,1,0,3,11
77,7503,1976,48,4285 days,2012-10-12,Graduation,Single,75825,0,0,0,40,2209,1032,105,779,137,105,51,0,0,5,8,9,4,0,0,1,0,0,1,2,0,3,11
78,10401,1976,48,3958 days,2013-09-04,2n Cycle,Together,26326,0,0,0,12,18,1,0,5,0,3,9,1,1,0,0,3,3,0,0,0,0,0,0,0,1,3,11
79,1618,1965,59,4203 days,2013-01-02,Graduation,Together,56046,0,0,0,9,692,577,0,64,0,0,51,1,2,10,1,8,8,0,0,1,0,0,1,2,0,3,11
80,3332,1985,39,4329 days,2012-08-29,Graduation,Single,29760,1,0,1,87,165,64,4,68,7,5,17,0,4,3,1,4,8,0,0,0,0,0,0,0,0,3,11
81,2261,1969,55,4031 days,2013-06-23,Graduation,Married,26304,1,0,1,5,16,4,1,5,2,0,4,1,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11
82,5346,1973,51,4021 days,2013-07-03,2n Cycle,Married,23559,1,0,1,87,79,25,5,19,7,0,23,0,3,3,0,3,7,0,0,0,0,0,0,0,0,3,11
83,4119,1963,61,4074 days,2013-05-11,Master,Together,38620,0,0,0,56,318,112,17,44,34,22,89,0,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11
84,535,1987,37,3784 days,2014-02-25,Graduation,Divorced,81361,0,0,0,18,778,163,23,424,27,65,76,1,1,3,10,13,1,0,0,0,0,0,0,0,0,3,11
85,5268,1960,64,3982 days,2013-08-11,Graduation,Married,29440,1,1,2,95,56,17,8,14,10,4,3,0,2,1,0,4,7,0,0,0,0,0,0,0,0,3,11
86,273,1970,54,4008 days,2013-07-16,Master,Married,36138,1,1,2,48,151,130,0,16,0,0,5,0,5,3,1,4,7,0,0,0,1,0,0,1,0,3,11
87,4452,1957,67,3692 days,2014-05-28,Graduation,Single,50388,0,1,1,3,372,292,6,37,0,3,34,1,4,6,1,6,7,1,0,0,1,0,1,3,0,3,11
88,8504,1973,51,3708 days,2014-05-12,Graduation,Married,79593,0,0,0,70,1366,350,60,568,110,133,145,0,1,5,6,7,2,0,0,0,0,1,0,1,0,3,11
89,771,1967,57,3819 days,2014-01-21,Graduation,Together,54178,0,1,1,79,194,135,9,39,4,0,7,0,1,2,2,5,2,0,0,0,0,0,0,0,0,3,11
93,11178,1972,52,3758 days,2014-03-23,Master,Single,42394,1,0,1,69,32,15,2,10,0,1,4,0,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11
94,2230,1970,54,3696 days,2014-05-24,PhD,Married,23626,1,0,1,84,43,27,2,14,0,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,3,11
95,7516,1983,41,3698 days,2014-05-22,Graduation,Married,30096,1,0,1,30,45,5,3,11,12,5,9,0,1,2,0,3,6,0,0,0,0,0,0,0,0,3,11
96,7247,1960,64,4244 days,2012-11-22,Graduation,Widow,47916,0,1,1,72,606,505,0,26,0,0,75,0,5,7,4,6,6,0,0,0,1,0,0,1,0,3,11
97,11100,1972,52,4104 days,2013-04-11,Graduation,Divorced,51813,1,1,2,37,63,51,2,7,0,1,2,0,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11
98,4646,1951,73,3870 days,2013-12-01,2n Cycle,Married,78497,0,0,0,44,978,207,26,447,75,0,223,0,1,5,7,12,2,1,0,0,0,0,0,1,0,3,11
99,3037,1983,41,4034 days,2013-06-20,PhD,Married,50150,0,0,0,32,410,135,46,92,65,61,11,0,2,5,2,7,5,0,0,0,0,0,0,0,0,3,11
100,1473,1960,64,4001 days,2013-07-23,2n Cycle,Single,47823,0,1,1,0,72,53,1,5,2,1,10,1,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11
101,1016,1959,65,3751 days,2014-03-30,PhD,Single,34554,0,1,1,43,55,41,1,6,2,0,5,0,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11
102,4518,1979,45,4095 days,2013-04-20,Graduation,Together,85693,0,1,1,59,1169,386,172,183,185,132,111,0,2,9,5,11,5,0,0,0,0,0,0,0,0,3,11
103,9370,1945,79,4068 days,2013-05-17,PhD,Married,65846,0,0,0,68,1120,562,81,276,80,40,81,0,1,6,3,6,4,0,0,0,0,0,0,0,0,3,11
104,8908,1959,65,3712 days,2014-05-08,Graduation,Married,87195,0,0,0,35,1097,217,76,690,50,26,38,0,1,3,11,5,1,0,0,0,0,0,1,1,0,3,11
105,8373,1979,45,3861 days,2013-12-10,Basic,Together,24594,1,0,1,94,29,1,3,6,10,0,9,0,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11
106,7533,1964,60,3938 days,2013-09-24,Graduation,Married,49096,1,1,2,15,187,144,1,32,2,1,7,1,4,4,1,4,7,0,0,0,0,0,0,0,0,3,11
107,2683,1969,55,4172 days,2013-02-02,Graduation,Married,52413,0,2,2,56,910,295,106,271,75,98,65,0,4,6,4,12,6,0,0,0,0,0,0,0,0,3,11
108,3629,1978,46,4217 days,2012-12-19,Graduation,Single,38557,1,0,1,17,145,76,3,31,4,4,27,1,2,3,1,3,7,0,0,0,0,0,0,0,0,3,11
109,10991,1960,64,4229 days,2012-12-07,Master,Married,89058,0,0,0,18,850,454,194,106,31,22,43,1,1,5,4,4,2,0,0,0,0,0,0,0,0,3,11
110,5077,1979,45,3899 days,2013-11-02,Graduation,Together,77298,0,1,1,46,969,425,115,292,23,35,79,0,1,6,6,11,3,0,0,0,0,0,0,0,0,3,11
111,7431,1991,33,4256 days,2012-11-10,PhD,Single,68126,0,0,0,40,1820,1332,17,311,23,51,86,0,1,7,4,5,9,0,0,0,1,0,1,2,0,3,11
112,3267,1963,61,3664 days,2014-06-25,Master,Together,57288,0,1,1,27,608,527,0,21,0,0,60,1,3,8,1,8,6,0,0,0,1,0,0,1,0,3,11
113,999,1991,33,4203 days,2013-01-02,Graduation,Single,86037,0,0,0,95,730,490,44,125,29,20,22,0,1,6,7,11,3,0,0,0,1,1,1,3,0,3,11
114,9215,1980,44,4224 days,2012-12-12,PhD,Married,43974,1,0,1,19,551,378,0,101,0,0,72,1,5,6,4,6,7,0,0,0,0,0,0,0,0,3,11
115,2286,1962,62,3952 days,2013-09-10,Graduation,Single,50785,1,1,2,27,114,64,1,21,0,1,27,1,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11
116,1592,1970,54,3816 days,2014-01-24,Graduation,Married,90765,0,0,0,25,1724,547,99,812,151,82,33,1,0,4,6,5,1,1,0,0,0,1,0,2,0,3,11
117,367,1978,46,4155 days,2013-02-19,2n Cycle,Married,36550,1,0,1,74,577,47,90,94,123,103,120,0,5,9,1,5,9,0,0,0,0,0,0,0,0,3,11
118,5234,1967,57,4013 days,2013-07-11,2n Cycle,Together,30753,1,1,2,85,81,12,5,25,0,9,30,0,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11
119,9862,1969,55,3887 days,2013-11-14,Graduation,Together,21918,1,0,1,37,33,1,6,7,11,5,3,0,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11
120,9805,1953,71,4034 days,2013-06-20,Master,Together,56129,0,1,1,65,660,320,48,133,39,72,48,0,4,6,2,10,4,0,0,0,0,0,0,0,0,3,11
121,6205,1967,57,3785 days,2014-02-24,Master,Single,32557,1,0,1,13,80,34,3,29,0,4,10,1,3,2,1,3,5,0,0,0,0,0,1,1,0,3,11
122,8442,1985,39,3958 days,2013-09-04,Master,Married,19510,2,0,2,63,30,9,0,7,3,4,7,0,2,1,0,3,7,0,0,0,0,0,0,0,0,3,11
123,7386,1976,48,4093 days,2013-04-22,Graduation,Divorced,30992,1,0,1,83,43,17,0,14,7,3,2,0,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11
124,7215,1983,41,4134 days,2013-03-12,Graduation,Single,101970,0,0,0,69,1135,722,27,102,44,72,168,0,0,6,8,13,2,1,0,0,1,1,1,4,0,3,11
125,1491,1965,59,4156 days,2013-02-18,2n Cycle,Together,71488,0,0,0,87,559,162,33,124,40,28,172,0,2,3,4,7,1,0,0,0,0,0,0,0,0,3,11
126,11071,1984,40,4094 days,2013-04-21,Graduation,Single,79607,0,0,0,37,1923,450,133,951,173,0,216,0,1,3,6,6,1,0,0,0,0,0,1,1,0,3,11
127,3381,1953,71,3681 days,2014-06-08,Master,Married,54348,1,1,2,51,90,70,0,16,0,0,4,0,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11
129,11051,1956,68,3710 days,2014-05-10,PhD,Together,77376,1,1,2,72,661,492,19,110,16,12,12,0,4,6,3,10,4,0,0,0,0,0,0,0,0,3,11
130,8026,1952,72,3932 days,2013-09-30,Graduation,Married,62998,0,1,1,10,463,120,58,73,65,89,58,1,5,5,4,5,5,0,0,0,0,0,0,0,0,3,11
132,9597,1969,55,3799 days,2014-02-10,Graduation,Married,73448,0,0,0,10,725,236,106,189,23,41,130,1,1,7,2,9,4,0,0,0,0,0,0,0,0,3,11
134,5290,1964,60,3979 days,2013-08-14,PhD,Married,41551,1,1,2,51,279,220,0,33,3,0,23,0,5,5,1,5,8,0,0,0,0,0,0,0,0,3,11
135,1685,1967,57,4129 days,2013-03-17,PhD,Together,62981,0,0,0,21,1482,796,14,590,38,44,0,1,1,4,5,13,3,0,0,0,1,0,0,1,0,3,11
136,5342,1976,48,4350 days,2012-08-08,Basic,Divorced,9548,1,0,1,31,29,0,1,3,10,6,9,0,2,1,0,3,8,0,0,0,0,0,0,0,0,3,11
137,9579,1959,65,4017 days,2013-07-07,PhD,Married,33762,2,1,3,61,106,53,1,34,2,0,16,0,3,2,2,2,8,0,0,0,0,0,0,0,0,3,11
139,1461,1965,59,3996 days,2013-07-28,PhD,Divorced,36921,1,1,2,74,38,17,1,12,3,1,4,0,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11
140,821,1992,32,4278 days,2012-10-19,Master,Single,92859,0,0,0,46,2077,962,61,921,52,61,20,0,1,5,4,12,2,0,0,0,0,0,0,0,0,3,11
141,11084,1976,48,3887 days,2013-11-14,Master,Together,65104,0,1,1,4,1053,738,0,232,13,20,50,1,2,3,5,7,7,0,0,0,0,0,1,1,0,3,11
142,8690,1962,62,4096 days,2013-04-19,Graduation,Married,86111,0,0,0,73,1385,399,28,756,36,40,126,0,1,5,7,10,2,0,0,0,0,0,0,0,0,3,11
143,2937,1974,50,3965 days,2013-08-28,PhD,Single,68352,0,1,1,47,871,614,16,132,43,33,33,0,3,8,5,9,6,0,0,0,0,0,0,0,0,3,11
144,9701,1988,36,4127 days,2013-03-19,Graduation,Together,41883,1,0,1,13,312,32,34,41,73,16,116,1,3,4,2,3,7,0,0,0,0,0,0,0,0,3,11
145,9949,1976,48,4279 days,2012-10-18,Graduation,Married,59809,0,2,2,36,877,598,16,141,32,41,49,0,3,3,3,6,8,0,0,0,0,0,0,0,0,3,11
146,10837,1975,49,4269 days,2012-10-28,Graduation,Married,23957,1,0,1,47,68,2,1,18,20,11,16,0,1,2,0,3,6,0,0,0,0,0,1,1,0,3,11
147,3120,1981,43,3965 days,2013-08-28,Graduation,Together,38547,1,0,1,49,22,6,1,10,0,1,4,0,1,1,0,2,8,0,0,0,0,0,0,0,1,3,11
148,5885,1973,51,4336 days,2012-08-22,2n Cycle,Married,35688,2,1,3,94,211,73,3,90,12,1,32,0,7,4,1,4,8,0,0,0,0,0,0,0,0,3,11
149,4050,1966,58,3668 days,2014-06-21,Master,Married,49605,0,0,0,65,127,42,16,29,12,20,8,0,1,2,1,4,3,0,0,0,0,0,0,0,0,3,11
150,3830,1953,71,3726 days,2014-04-24,Master,Married,59354,0,2,2,59,459,295,21,78,39,13,13,0,1,4,4,7,3,0,0,0,0,0,0,0,0,3,11
151,7987,1969,55,3774 days,2014-03-07,Graduation,Married,65747,0,1,1,96,460,346,17,48,23,13,13,0,4,8,1,6,6,0,0,0,1,0,0,1,0,3,11
152,7798,1972,52,4222 days,2012-12-14,2n Cycle,Together,46344,0,1,1,28,429,233,20,57,8,20,91,1,4,7,1,5,7,0,0,0,0,0,0,0,0,3,11
154,7055,1952,72,4288 days,2012-10-09,PhD,Together,61010,0,1,1,57,1021,888,0,57,0,0,76,0,2,8,5,11,5,0,0,0,0,0,0,0,0,3,11
155,10240,1949,75,4155 days,2013-02-19,Graduation,Together,69372,0,0,0,10,1381,997,26,269,34,13,42,1,1,10,4,6,4,0,0,0,1,1,1,3,0,3,11
156,3025,1958,66,4016 days,2013-07-08,Graduation,Single,49967,0,1,1,4,306,212,6,69,4,12,3,1,3,6,1,5,7,0,0,0,0,0,0,0,0,3,11
157,9283,1978,46,3950 days,2013-09-12,Graduation,Single,60199,1,2,3,49,18,8,1,7,2,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,3,11
158,9970,1977,47,3915 days,2013-10-17,Graduation,Together,55375,0,1,1,3,162,42,11,57,10,28,14,1,1,1,1,6,2,0,0,0,0,0,0,0,0,3,11
159,2730,1955,69,3973 days,2013-08-20,Graduation,Single,80317,0,0,0,64,1231,536,11,387,149,91,57,0,1,3,4,10,1,0,0,0,0,0,0,0,0,3,11
160,2795,1958,66,4023 days,2013-07-01,Master,Single,30523,2,1,3,0,13,5,0,3,0,0,5,1,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11
161,9260,1945,79,4261 days,2012-11-05,PhD,Married,70356,0,0,0,20,1706,1349,16,249,43,16,33,1,2,10,6,9,6,0,0,0,0,0,0,0,0,3,11
162,8182,1984,40,3835 days,2014-01-05,Graduation,Married,23228,1,0,1,91,121,53,3,49,7,4,5,0,4,3,0,4,8,0,0,0,0,0,0,0,0,3,11
163,10095,1975,49,4084 days,2013-05-01,PhD,Divorced,74165,0,0,0,9,1293,1001,12,240,16,12,12,1,1,5,4,10,2,0,0,0,0,0,0,0,0,3,11
164,8475,1973,51,3780 days,2014-03-01,PhD,Married,157243,0,1,1,98,1608,20,2,1582,1,2,1,0,15,0,22,0,0,0,0,0,0,0,0,0,0,3,11
165,4370,1966,58,3888 days,2013-11-13,Graduation,Together,43482,2,1,3,83,88,18,1,32,6,3,28,0,3,2,0,4,6,0,0,0,0,0,0,0,0,3,11
166,10573,1953,71,3883 days,2013-11-18,Graduation,Divorced,62551,0,0,0,27,421,125,16,98,134,21,27,1,1,6,7,4,3,0,0,1,0,0,0,1,0,3,11
167,3712,1959,65,3965 days,2013-08-28,Graduation,Divorced,52332,0,0,0,63,259,212,5,33,7,0,2,0,1,3,2,6,4,0,0,0,1,0,0,1,0,3,11
