ID,Year_Birth,Year_Old,CustomerFor,Dt_Customer,Education,Marital_Status,Income,Kidhome,Teenhome,ChildrenHome,Recency,MntSpentTotal,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,PurchaseLastMonth,NumPurchasesTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpTotal,Complain,Z_CostContact,Z_Revenue,Age_cat,Income_cat,MntTotal_cat,Recency_cat
387,1976,48,4265 days,2012-11-13,Basic,Married,7500,0,0,0,59,61,6,16,11,11,1,16,0,5,1,2,0,3,8,0,0,0,0,0,0,0,0,3,11,45_54,D1,"[2.0, 87.0)",50_74
2125,1959,65,3898 days,2013-11-15,Graduation,Divorced,63033,0,0,0,82,1102,194,61,480,225,112,30,0,15,1,3,4,8,2,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[845.0, 1265.0)",75_99
8180,1952,72,3898 days,2013-11-15,Master,Divorced,59354,1,1,2,53,310,233,2,53,3,5,14,0,12,3,6,1,5,6,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[256.0, 340.0)",50_74
2569,1987,37,4299 days,2012-10-10,Graduation,Married,17323,0,0,0,38,46,3,14,17,6,1,5,0,4,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11,35_44,D1,"[2.0, 87.0)",25_49
2114,1946,78,4254 days,2012-11-24,PhD,Single,82800,0,0,0,23,1315,1006,22,115,59,68,45,1,25,1,7,6,12,3,1,0,0,0,1,1,2,0,3,11,75_above,D6,"[1265.0, 1685.0)",0_24
9736,1980,44,4224 days,2012-12-24,Graduation,Married,41850,1,1,2,51,96,53,5,19,2,13,4,0,6,3,3,0,3,8,0,0,0,0,0,0,0,0,3,11,35_44,D3,"[87.0, 171.0)",50_74
4939,1946,78,4339 days,2012-08-31,Graduation,Together,37760,0,0,0,20,317,84,5,38,150,12,28,1,11,2,4,1,6,7,0,0,0,0,0,0,0,0,3,11,75_above,D3,"[256.0, 340.0)",0_24
6565,1949,75,4130 days,2013-03-28,Master,Married,76995,0,1,1,91,1782,1012,80,498,0,16,176,0,24,2,11,4,9,5,1,0,0,0,0,0,1,0,3,11,75_above,D5,"[1685.0, 2105.0)",75_99
2278,1985,39,4275 days,2012-11-03,2n Cycle,Single,33812,1,0,1,86,133,4,17,19,30,24,39,0,6,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[87.0, 171.0)",75_99
9360,1982,42,4362 days,2012-08-08,Graduation,Married,37040,0,0,0,41,316,86,2,73,69,38,48,0,11,1,4,2,5,8,0,0,0,0,0,0,0,0,3,11,35_44,D3,"[256.0, 340.0)",25_49
5376,1979,45,4211 days,2013-01-06,Graduation,Married,2447,1,0,1,42,1730,1,1,1725,1,1,1,0,28,15,0,28,0,1,0,0,0,0,0,0,0,0,3,11,45_54,D1,"[1685.0, 2105.0)",25_49
1993,1949,75,4225 days,2012-12-23,PhD,Married,58607,0,1,1,63,972,867,0,86,0,0,19,0,14,3,2,3,9,8,0,0,0,1,0,0,1,0,3,11,75_above,D4,"[845.0, 1265.0)",50_74
4047,1954,70,3841 days,2014-01-11,PhD,Married,65324,0,1,1,0,544,384,0,102,21,32,5,1,17,3,6,2,9,4,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[425.0, 845.0)",0_24
1409,1951,73,4140 days,2013-03-18,Graduation,Together,40689,0,1,1,69,444,270,3,27,39,6,99,0,13,7,7,1,5,8,0,0,0,0,0,0,0,0,3,11,65_74,D3,"[425.0, 845.0)",50_74
7892,1969,55,4215 days,2013-01-02,Graduation,Single,18589,0,0,0,89,75,6,4,25,15,12,13,0,6,2,2,1,3,7,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",75_99
2404,1976,48,4070 days,2013-05-27,Graduation,Married,53359,1,1,2,4,257,173,4,30,3,6,41,1,10,4,5,1,4,7,0,0,0,0,0,0,0,0,3,11,45_54,D4,"[256.0, 340.0)",0_24
9422,1989,35,4066 days,2013-05-31,Graduation,Married,38360,1,0,1,26,131,36,2,42,20,21,10,1,7,2,2,1,4,3,0,0,0,0,0,0,0,0,3,11,35_44,D3,"[87.0, 171.0)",25_49
1966,1965,59,3891 days,2013-11-22,PhD,Married,84618,0,0,0,96,1672,684,100,801,21,66,0,0,25,1,6,9,10,2,0,0,0,0,1,0,1,0,3,11,55_64,D6,"[1265.0, 1685.0)",75_99
6864,1989,35,3710 days,2014-05-22,Master,Divorced,10979,0,0,0,34,30,8,4,10,2,2,4,0,6,2,3,0,3,5,0,0,0,0,0,0,0,0,3,11,35_44,D1,"[2.0, 87.0)",25_49
3033,1963,61,4086 days,2013-05-11,Master,Together,38620,0,0,0,56,318,112,17,44,34,22,89,0,10,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11,55_64,D3,"[256.0, 340.0)",50_74
5710,1970,54,4299 days,2012-10-10,Graduation,Together,40548,0,1,1,31,120,110,0,5,2,0,3,0,7,2,2,1,4,5,0,0,0,1,0,0,1,0,3,11,45_54,D3,"[87.0, 171.0)",25_49
7373,1952,72,4280 days,2012-10-29,PhD,Divorced,46610,0,2,2,8,302,96,12,96,33,22,43,1,11,6,4,1,6,6,0,0,0,0,0,1,0,0,3,11,65_74,D3,"[256.0, 340.0)",0_24
8755,1946,78,4166 days,2013-02-20,Master,Married,68657,0,0,0,4,1196,482,34,471,119,68,22,1,17,1,3,5,9,7,0,0,0,0,0,0,0,0,3,11,75_above,D5,"[845.0, 1265.0)",0_24
10738,1951,73,3976 days,2013-08-29,Master,Single,49389,1,1,2,55,65,40,0,19,2,1,3,0,5,1,2,0,3,7,0,0,0,0,0,0,0,0,3,11,65_74,D3,"[2.0, 87.0)",50_74
4339,1970,54,3852 days,2013-12-31,PhD,Married,67353,0,1,1,37,913,702,17,151,0,8,35,0,23,5,5,6,12,2,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[845.0, 1265.0)",25_49
10755,1976,48,3972 days,2013-09-02,2n Cycle,Married,23718,1,0,1,76,81,6,3,14,15,7,36,0,6,3,3,1,2,7,0,0,0,0,0,0,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
8595,1973,51,3810 days,2014-02-11,Graduation,Widow,42429,0,1,1,99,67,55,0,6,2,0,4,0,5,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[2.0, 87.0)",75_99
2968,1943,81,4185 days,2013-02-01,PhD,Divorced,48948,0,0,0,53,902,437,8,206,160,49,42,0,22,2,7,10,5,6,0,0,1,0,0,1,1,0,3,11,75_above,D3,"[845.0, 1265.0)",50_74
8601,1980,44,4098 days,2013-04-29,Graduation,Married,80011,0,1,1,3,1395,421,76,536,82,178,102,1,19,2,8,6,5,4,0,0,0,0,0,0,0,0,3,11,35_44,D5,"[1265.0, 1685.0)",0_24
503,1985,39,4146 days,2013-03-12,Master,Married,20559,1,0,1,88,53,13,1,29,3,0,7,0,5,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[2.0, 87.0)",75_99
8430,1957,67,4224 days,2012-12-24,Graduation,Together,21994,0,1,1,4,22,9,0,6,3,1,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,3,11,65_74,D2,"[2.0, 87.0)",0_24
2139,1975,49,3942 days,2013-10-02,Master,Married,7500,1,0,1,19,31,3,1,10,3,2,12,1,5,3,2,0,3,5,0,0,0,0,0,0,0,0,3,11,45_54,D1,"[2.0, 87.0)",0_24
1371,1976,48,3673 days,2014-06-28,Graduation,Single,79941,0,0,0,72,984,123,164,266,227,30,174,0,15,1,2,4,9,1,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[845.0, 1265.0)",50_74
9909,1996,28,4269 days,2012-11-09,2n Cycle,Married,7500,0,0,0,24,122,3,18,14,15,22,50,1,7,3,3,1,3,9,0,0,0,0,0,1,0,0,3,11,25_34,D1,"[87.0, 171.0)",0_24
7286,1968,56,4073 days,2013-05-24,Graduation,Together,41728,1,0,1,92,55,13,6,15,3,5,13,0,4,1,2,0,2,10,0,0,0,0,0,0,0,0,3,11,55_64,D3,"[2.0, 87.0)",75_99
6566,1954,70,4270 days,2012-11-08,PhD,Married,72550,1,1,2,39,1319,826,50,317,50,38,38,0,19,9,5,2,12,8,0,0,0,0,0,0,0,0,3,11,65_74,D5,"[1265.0, 1685.0)",25_49
8614,1957,67,3720 days,2014-05-12,Graduation,Widow,65486,0,1,1,29,507,245,19,125,37,67,14,1,16,1,4,2,10,2,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[425.0, 845.0)",25_49
4114,1964,60,4359 days,2012-08-11,Master,Married,79143,0,0,0,2,1693,650,37,780,27,167,32,1,28,1,6,9,13,3,0,0,0,0,0,0,0,0,3,11,55_64,D5,"[1685.0, 2105.0)",0_24
1331,1977,47,4215 days,2013-01-02,Graduation,Single,35790,1,0,1,54,72,12,6,20,30,1,3,0,5,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[2.0, 87.0)",50_74
2225,1977,47,3694 days,2014-06-07,Graduation,Divorced,82582,0,0,0,54,1617,510,120,550,156,40,241,0,20,1,4,9,7,1,1,0,1,0,0,1,2,0,3,11,45_54,D6,"[1265.0, 1685.0)",50_74
9381,1978,46,4054 days,2013-06-12,Graduation,Married,66373,1,1,2,57,606,328,9,124,12,24,109,0,16,7,4,2,10,3,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[425.0, 845.0)",50_74
6260,1955,69,4259 days,2012-11-19,Master,Together,82384,0,0,0,55,1957,984,51,432,180,120,190,0,26,1,3,10,13,1,0,0,0,0,1,1,1,0,3,11,65_74,D6,"[1685.0, 2105.0)",50_74
10383,1966,58,4125 days,2013-04-02,Graduation,Divorced,70287,0,0,0,30,1093,295,35,482,121,120,40,0,20,1,5,5,10,3,0,0,0,0,0,1,0,0,3,11,55_64,D5,"[845.0, 1265.0)",25_49
7437,1988,36,3734 days,2014-04-28,Graduation,Single,27938,1,0,1,31,29,13,0,8,2,1,5,0,5,1,1,0,4,3,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[2.0, 87.0)",25_49
8375,1968,56,3790 days,2014-03-03,PhD,Married,55954,0,1,1,63,518,447,0,28,0,0,43,0,16,3,8,2,6,7,0,0,0,0,0,0,0,0,3,11,55_64,D4,"[425.0, 845.0)",50_74
6853,1982,42,4032 days,2013-07-04,Master,Single,75777,0,0,0,12,1438,712,26,538,69,13,80,1,20,1,3,6,11,1,0,0,0,1,1,1,2,0,3,11,35_44,D5,"[1265.0, 1685.0)",0_24
3076,1975,49,4332 days,2012-09-07,Graduation,Together,66653,1,1,2,18,612,452,18,102,16,18,6,1,18,4,4,2,12,3,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[425.0, 845.0)",0_24
1012,1952,72,4168 days,2013-02-18,Graduation,Single,61823,0,1,1,26,884,523,7,134,37,14,169,1,20,4,8,2,10,7,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[845.0, 1265.0)",25_49
6518,1951,73,4055 days,2013-06-11,PhD,Widow,67680,0,1,1,8,606,546,0,48,0,6,6,1,18,1,7,3,8,5,0,0,0,0,0,0,0,0,3,11,65_74,D5,"[425.0, 845.0)",0_24
4137,1948,76,3877 days,2013-12-06,Graduation,Together,70666,0,0,0,29,1076,398,40,367,119,122,30,1,15,1,7,4,4,4,0,0,0,0,0,0,0,0,3,11,75_above,D5,"[845.0, 1265.0)",25_49
8082,1971,53,4076 days,2013-05-21,Graduation,Married,25721,1,0,1,75,34,1,3,6,3,6,15,0,4,1,1,1,2,7,0,0,0,0,0,1,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
1386,1967,57,3721 days,2014-05-11,Graduation,Together,32474,1,1,2,0,11,10,0,1,0,0,0,1,3,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",0_24
9369,1979,45,3774 days,2014-03-19,2n Cycle,Single,88194,0,1,1,19,1274,688,14,309,201,24,38,1,31,1,11,10,10,5,1,0,1,0,0,1,2,0,3,11,45_54,D6,"[1265.0, 1685.0)",0_24
4477,1958,66,3947 days,2013-09-27,Graduation,Together,69096,0,1,1,4,653,247,49,159,7,82,109,1,17,1,5,2,10,4,0,0,0,0,0,0,0,0,3,11,65_74,D5,"[425.0, 845.0)",0_24
1357,1970,54,4119 days,2013-04-08,Graduation,Together,74854,1,2,3,90,1562,856,59,487,58,29,73,0,12,7,2,5,5,5,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[1265.0, 1685.0)",75_99
1402,1954,70,4328 days,2012-09-11,Master,Married,66991,0,0,0,1,1253,496,36,460,189,60,12,1,18,3,4,8,6,3,0,0,0,0,0,0,0,0,3,11,65_74,D5,"[845.0, 1265.0)",0_24
6312,1959,65,4141 days,2013-03-17,Graduation,Married,65031,0,1,1,29,863,258,107,291,84,37,86,1,26,4,10,3,13,7,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[845.0, 1265.0)",25_49
8132,1975,49,4122 days,2013-04-05,PhD,Married,60631,1,1,2,88,661,565,6,65,0,6,19,0,19,5,9,2,8,7,0,0,0,1,0,0,1,0,3,11,45_54,D4,"[425.0, 845.0)",75_99
1050,1952,72,3732 days,2014-04-30,Graduation,Married,28332,0,0,0,58,65,14,10,13,4,15,9,0,7,1,2,1,4,2,0,0,0,0,0,0,0,0,3,11,65_74,D2,"[2.0, 87.0)",50_74
5846,1977,47,4229 days,2012-12-19,Graduation,Divorced,40246,1,0,1,68,13,2,1,6,2,1,1,0,3,1,1,0,2,6,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[2.0, 87.0)",50_74
1859,1972,52,4343 days,2012-08-27,Master,Married,75251,0,0,0,34,1890,721,111,925,97,18,18,0,18,1,7,6,5,5,0,0,0,0,0,1,0,0,3,11,45_54,D5,"[1685.0, 2105.0)",25_49
7503,1976,48,4297 days,2012-10-12,Graduation,Single,75825,0,0,0,40,2209,1032,105,779,137,105,51,0,22,0,5,8,9,4,0,0,1,0,0,1,1,0,3,11,45_54,D5,"[2105.0, 2525.0)",25_49
10401,1976,48,3970 days,2013-09-04,2n Cycle,Together,26326,0,0,0,12,18,1,0,5,0,3,9,1,3,1,0,0,3,3,0,0,0,0,0,0,0,1,3,11,45_54,D2,"[2.0, 87.0)",0_24
1618,1965,59,4215 days,2013-01-02,Graduation,Together,56046,0,0,0,9,692,577,0,64,0,0,51,1,19,2,10,1,8,8,0,0,1,0,0,1,1,0,3,11,55_64,D4,"[425.0, 845.0)",0_24
3332,1985,39,4341 days,2012-08-29,Graduation,Single,29760,1,0,1,87,165,64,4,68,7,5,17,0,8,4,3,1,4,8,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[87.0, 171.0)",75_99
2261,1969,55,4043 days,2013-06-23,Graduation,Married,26304,1,0,1,5,16,4,1,5,2,0,4,1,3,1,1,0,2,7,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",0_24
5346,1973,51,4033 days,2013-07-03,2n Cycle,Married,23559,1,0,1,87,79,25,5,19,7,0,23,0,6,3,3,0,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
4119,1963,61,4086 days,2013-05-11,Master,Together,38620,0,0,0,56,318,112,17,44,34,22,89,0,10,1,2,5,3,3,0,0,0,0,0,0,0,0,3,11,55_64,D3,"[256.0, 340.0)",50_74
535,1987,37,3796 days,2014-02-25,Graduation,Divorced,81361,0,0,0,18,778,163,23,424,27,65,76,1,26,1,3,10,13,1,0,0,0,0,0,0,0,0,3,11,35_44,D5,"[425.0, 845.0)",0_24
5268,1960,64,3994 days,2013-08-11,Graduation,Married,29440,1,1,2,95,56,17,8,14,10,4,3,0,5,2,1,0,4,7,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",75_99
273,1970,54,4020 days,2013-07-16,Master,Married,36138,1,1,2,48,151,130,0,16,0,0,5,0,8,5,3,1,4,7,0,0,0,1,0,0,1,0,3,11,45_54,D3,"[87.0, 171.0)",25_49
4452,1957,67,3704 days,2014-05-28,Graduation,Single,50388,0,1,1,3,372,292,6,37,0,3,34,1,13,4,6,1,6,7,1,0,0,1,0,1,2,0,3,11,65_74,D4,"[340.0, 425.0)",0_24
8504,1973,51,3720 days,2014-05-12,Graduation,Married,79593,0,0,0,70,1366,350,60,568,110,133,145,0,18,1,5,6,7,2,0,0,0,0,1,0,1,0,3,11,45_54,D5,"[1265.0, 1685.0)",50_74
771,1967,57,3831 days,2014-01-21,Graduation,Together,54178,0,1,1,79,194,135,9,39,4,0,7,0,9,1,2,2,5,2,0,0,0,0,0,0,0,0,3,11,55_64,D4,"[171.0, 256.0)",75_99
11178,1972,52,3770 days,2014-03-23,Master,Single,42394,1,0,1,69,32,15,2,10,0,1,4,0,4,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[2.0, 87.0)",50_74
2230,1970,54,3708 days,2014-05-24,PhD,Married,23626,1,0,1,84,43,27,2,14,0,0,0,0,7,3,3,1,3,5,0,0,0,0,0,0,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
7516,1983,41,3710 days,2014-05-22,Graduation,Married,30096,1,0,1,30,45,5,3,11,12,5,9,0,5,1,2,0,3,6,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[2.0, 87.0)",25_49
7247,1960,64,4256 days,2012-11-22,Graduation,Widow,47916,0,1,1,72,606,505,0,26,0,0,75,0,17,5,7,4,6,6,0,0,0,1,0,0,1,0,3,11,55_64,D3,"[425.0, 845.0)",50_74
11100,1972,52,4116 days,2013-04-11,Graduation,Divorced,51813,1,1,2,37,63,51,2,7,0,1,2,0,5,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D4,"[2.0, 87.0)",25_49
4646,1951,73,3882 days,2013-12-01,2n Cycle,Married,78497,0,0,0,44,978,207,26,447,75,0,223,0,24,1,5,7,12,2,1,0,0,0,0,0,1,0,3,11,65_74,D5,"[845.0, 1265.0)",25_49
3037,1983,41,4046 days,2013-06-20,PhD,Married,50150,0,0,0,32,410,135,46,92,65,61,11,0,14,2,5,2,7,5,0,0,0,0,0,0,0,0,3,11,35_44,D4,"[340.0, 425.0)",25_49
1473,1960,64,4013 days,2013-07-23,2n Cycle,Single,47823,0,1,1,0,72,53,1,5,2,1,10,1,5,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11,55_64,D3,"[2.0, 87.0)",0_24
1016,1959,65,3763 days,2014-03-30,PhD,Single,34554,0,1,1,43,55,41,1,6,2,0,5,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11,65_74,D3,"[2.0, 87.0)",25_49
4518,1979,45,4107 days,2013-04-20,Graduation,Together,85693,0,1,1,59,1169,386,172,183,185,132,111,0,25,2,9,5,11,5,0,0,0,0,0,0,0,0,3,11,45_54,D6,"[845.0, 1265.0)",50_74
9370,1945,79,4080 days,2013-05-17,PhD,Married,65846,0,0,0,68,1120,562,81,276,80,40,81,0,15,1,6,3,6,4,0,0,0,0,0,0,0,0,3,11,75_above,D4,"[845.0, 1265.0)",50_74
8908,1959,65,3724 days,2014-05-08,Graduation,Married,87195,0,0,0,35,1097,217,76,690,50,26,38,0,19,1,3,11,5,1,0,0,0,0,0,1,0,0,3,11,65_74,D6,"[845.0, 1265.0)",25_49
8373,1979,45,3873 days,2013-12-10,Basic,Together,24594,1,0,1,94,29,1,3,6,10,0,9,0,4,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
7533,1964,60,3950 days,2013-09-24,Graduation,Married,49096,1,1,2,15,187,144,1,32,2,1,7,1,9,4,4,1,4,7,0,0,0,0,0,0,0,0,3,11,55_64,D3,"[171.0, 256.0)",0_24
2683,1969,55,4184 days,2013-02-02,Graduation,Married,52413,0,2,2,56,910,295,106,271,75,98,65,0,22,4,6,4,12,6,0,0,0,0,0,0,0,0,3,11,55_64,D4,"[845.0, 1265.0)",50_74
3629,1978,46,4229 days,2012-12-19,Graduation,Single,38557,1,0,1,17,145,76,3,31,4,4,27,1,7,2,3,1,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[87.0, 171.0)",0_24
10991,1960,64,4241 days,2012-12-07,Master,Married,89058,0,0,0,18,850,454,194,106,31,22,43,1,13,1,5,4,4,2,0,0,0,0,0,0,0,0,3,11,55_64,D6,"[845.0, 1265.0)",0_24
5077,1979,45,3911 days,2013-11-02,Graduation,Together,77298,0,1,1,46,969,425,115,292,23,35,79,0,23,1,6,6,11,3,0,0,0,0,0,0,0,0,3,11,45_54,D5,"[845.0, 1265.0)",25_49
7431,1991,33,4268 days,2012-11-10,PhD,Single,68126,0,0,0,40,1820,1332,17,311,23,51,86,0,16,1,7,4,5,9,0,0,0,1,0,1,1,0,3,11,25_34,D5,"[1685.0, 2105.0)",25_49
3267,1963,61,3676 days,2014-06-25,Master,Together,57288,0,1,1,27,608,527,0,21,0,0,60,1,17,3,8,1,8,6,0,0,0,1,0,0,1,0,3,11,55_64,D4,"[425.0, 845.0)",25_49
999,1991,33,4215 days,2013-01-02,Graduation,Single,86037,0,0,0,95,730,490,44,125,29,20,22,0,24,1,6,7,11,3,0,0,0,1,1,1,2,0,3,11,25_34,D6,"[425.0, 845.0)",75_99
9215,1980,44,4236 days,2012-12-12,PhD,Married,43974,1,0,1,19,551,378,0,101,0,0,72,1,16,5,6,4,6,7,0,0,0,0,0,0,0,0,3,11,35_44,D3,"[425.0, 845.0)",0_24
2286,1962,62,3964 days,2013-09-10,Graduation,Single,50785,1,1,2,27,114,64,1,21,0,1,27,1,6,2,2,1,3,6,0,0,0,0,0,0,0,0,3,11,55_64,D4,"[87.0, 171.0)",25_49
1592,1970,54,3828 days,2014-01-24,Graduation,Married,90765,0,0,0,25,1724,547,99,812,151,82,33,1,15,0,4,6,5,1,1,0,0,0,1,0,2,0,3,11,45_54,D6,"[1685.0, 2105.0)",25_49
367,1978,46,4167 days,2013-02-19,2n Cycle,Married,36550,1,0,1,74,577,47,90,94,123,103,120,0,15,5,9,1,5,9,0,0,0,0,0,0,0,0,3,11,45_54,D3,"[425.0, 845.0)",50_74
5234,1967,57,4025 days,2013-07-11,2n Cycle,Together,30753,1,1,2,85,81,12,5,25,0,9,30,0,5,2,1,1,3,5,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",75_99
9862,1969,55,3899 days,2013-11-14,Graduation,Together,21918,1,0,1,37,33,1,6,7,11,5,3,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11,55_64,D2,"[2.0, 87.0)",25_49
9805,1953,71,4046 days,2013-06-20,Master,Together,56129,0,1,1,65,660,320,48,133,39,72,48,0,18,4,6,2,10,4,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[425.0, 845.0)",50_74
6205,1967,57,3797 days,2014-02-24,Master,Single,32557,1,0,1,13,80,34,3,29,0,4,10,1,6,3,2,1,3,5,0,0,0,0,0,1,0,0,3,11,55_64,D2,"[2.0, 87.0)",0_24
8442,1985,39,3970 days,2013-09-04,Master,Married,19510,2,0,2,63,30,9,0,7,3,4,7,0,4,2,1,0,3,7,0,0,0,0,0,0,0,0,3,11,35_44,D2,"[2.0, 87.0)",50_74
7386,1976,48,4105 days,2013-04-22,Graduation,Divorced,30992,1,0,1,83,43,17,0,14,7,3,2,0,4,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11,45_54,D2,"[2.0, 87.0)",75_99
7215,1983,41,4146 days,2013-03-12,Graduation,Single,101970,0,0,0,69,1135,722,27,102,44,72,168,0,27,0,6,8,13,2,1,0,0,1,1,1,3,0,3,11,35_44,D7,"[845.0, 1265.0)",50_74
1491,1965,59,4168 days,2013-02-18,2n Cycle,Together,71488,0,0,0,87,559,162,33,124,40,28,172,0,14,2,3,4,7,1,0,0,0,0,0,0,0,0,3,11,55_64,D5,"[425.0, 845.0)",75_99
11071,1984,40,4106 days,2013-04-21,Graduation,Single,79607,0,0,0,37,1923,450,133,951,173,0,216,0,15,1,3,6,6,1,0,0,0,0,0,1,0,0,3,11,35_44,D5,"[1685.0, 2105.0)",25_49
3381,1953,71,3693 days,2014-06-08,Master,Married,54348,1,1,2,51,90,70,0,16,0,0,4,0,6,2,2,0,4,6,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[87.0, 171.0)",50_74
11051,1956,68,3722 days,2014-05-10,PhD,Together,77376,1,1,2,72,661,492,19,110,16,12,12,0,19,4,6,3,10,4,0,0,0,0,0,0,0,0,3,11,65_74,D5,"[425.0, 845.0)",50_74
8026,1952,72,3944 days,2013-09-30,Graduation,Married,62998,0,1,1,10,463,120,58,73,65,89,58,1,14,5,5,4,5,5,0,0,0,0,0,0,0,0,3,11,65_74,D4,"[425.0, 845.0)",0_24
